JL5-1	JL5-2	JL5-3	JL12-1	JL12-2	JL12-3	MADV1	MADV2	MADV3	MADC1	MADC2	MADC3	808-1	808-2	808-3	MD1-1	MD1-2	MD1-3	MD5-1	MD5-2	MD5-3	L438P_1	L438P_2	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	JL	Control_Fibro_1	Control_Fibro_2	Control_Fibro_3
ENSG00000004766	1151.523	964.618	996.001	981.446	1276	1365.923	1638.001	1929.211	1405.092	1391.017	1413	1351.001	1406.327	1210.072	996	1094.229	1236.179	992.397	1485.15	1174.877	1599.001	556.489	663.716	738.923	685.711	421	568.309	606.015	580.008	1851.53	2379.458	1501.131	1571.024
ENSG00000004776	175	171	98	89.042	102	80	175	234	182	164	219	155	168	132	97	102	80.001	114.084	172.011	143	199.124	3	8	28	4	4	11	36	6	9891.988	13900.125	12686.396	4237.176
ENSG00000004777	3122.671	2964.211	2640	3114.151	2633.734	2592.855	2099.025	4147.01	3068.547	2022.738	3159.116	2395.447	2312.721	1663.989	1665.336	1928.008	1886.001	1968.634	1782.131	1705	2323.556	312.524	456.459	316.907	410.385	615.245	567.094	616.385	466.944	276	1132.001	403	478.053
ENSG00000004779	6849.753	6098.571	5297.023	5603.267	6160.804	5996.026	7422.29	9508.529	7092.916	10261.452	6495.089	5396.187	8433.936	10170.806	8312.46	6637.736	8046.71	8325.185	6421.961	5900.048	7899.772	1195.17	1389.922	1426.899	1333.839	1137	915.013	1806.999	1340	1964.001	2321.368	2538.417	2564.044
ENSG00000004799	8	5	3	3	3	12	6	5	6	2	2	3	12	8	6	9	20	9	3	1	1	0	0	1	1	1	0	0	1	68	70	34	10
ENSG00000004809	16	23.001	21	17	17	7	5	14	20	1	26	14	3	1	1	8	7	8	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0
ENSG00000004838	21.855	15	9	35	22	15.003	21	24.039	18.007	9	48.042	22.015	16.011	16	7	9.024	10	11	10	7	10.014	21	17	18	12.999	9	22	35	12	11	81	34	30.001
ENSG00000004846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3.001	3	3.119	3.004	1.004	1	1	2	4	0	0	0
ENSG00000004848	3	0	6	0	1	0	0	2	3	0	0	0	2	1	2	2	6	3	2	0	1	2	2	0	1	1	2	2	2	0	0	0	0
ENSG00000004864	7892.837	9693.359	8748.586	5538.195	7961.488	8179.583	10075.386	12882.333	10196.113	6952.855	8893.624	10159.27	6512.482	6069.314	6483.519	7980.72	8050.139	8207.396	6183.054	6166.993	7584.438	569	774.001	748.001	607.642	414.001	417	736.115	738.159	791.497	1069.13	709.999	1020
ENSG00000004866	1410.373	1692.464	1838.006	1275.013	1833.037	1740.121	2313.105	3090.394	2279.96	2442.371	1813.936	2024.071	2098.022	1978	2489.609	2049.87	2501.927	2164.54	1526.499	1675.772	2206.999	1915.448	2494.836	1641.536	1600.997	1889.72	1931.78	2567.733	1316.242	1286.997	2085.076	1329.006	933.601
ENSG00000004897	7650.382	7351.791	5735.538	5909.543	7588.915	8734.293	8799.591	11615.759	9014.387	6964.412	7972.498	7239.874	7566.596	8472.494	6006.584	7408.42	7751.821	7122.575	7027.35	5875.198	7212.3	3021.474	3162.258	3859.434	3568.16	1799.958	2248.516	4267.129	3006.744	6867.902	15523.053	8557.964	9376.219
ENSG00000004939	16	9	10	8	8	13	6	16	17	2	18	8	14	0	1	10	10	12	6	12	4	4.445	8.258	8.574	9.21	7.366	12.202	3.058	5.05	0	0	1	0
