JL5-1	JL5-2	JL5-3	JL12-1	JL12-2	JL12-3	MADV1	MADV2	MADV3	MADC1	MADC2	MADC3	808-1	808-2	808-3	MD1-1	MD1-2	MD1-3	MD5-1	MD5-2	MD5-3	L438P_1	L438P_2	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	JL	Control_Fibro_1	Control_Fibro_2	Control_Fibro_3
ENSG00000239620	56	22	6	39	14	21	5	18	24	6	78.001	13	10	7	3	4	5	13	2	1	6	0	0	0	0	1	1	1	3	0	0	0	0
ENSG00000239622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	4	0	0	0
ENSG00000239626	13	28	24	10	14	22	9	14	21	14	18	22	14	6	15	26	16	5	5	17	10	25	46	28	36	29	25	34.985	32	33	66	61	50
ENSG00000239627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239642	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ENSG00000239648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ENSG00000239649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0
ENSG00000239650	11.168	7.25	4.683	8.934	5.126	3.732	8.616	22.181	12.785	12.83	8.809	4.197	7.179	12.179	6.073	5.994	6.502	6.069	2.003	7.004	15.097	23.957	7.115	16.547	12.631	16.152	6.236	7.125	13.892	9.053	10.958	9.013	9.193
ENSG00000239659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	0	1	3	2	5	0	0	0	0
ENSG00000239670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	4	5	2	3	9	3	0	0	0	0
ENSG00000239671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	3	0	1	0	0	0	0
ENSG00000239672	13732.65	12540.898	13740.225	11453.978	13754.398	11952.54	18266.526	19907.403	15815.132	14896.472	10130.39	14024.53	12865.846	8280.94	12205.812	10658.368	11599.665	12343.052	9210.8	9967.408	12722.278	1489.413	2386.409	2671.476	2575.072	2285.662	1853.836	4779.895	2674.526	3491.766	7144.878	7626.1	8461.576
ENSG00000239683	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	1	3	1	1	0	0	0	0
ENSG00000239689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000239696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.004	0	0	0	0	1.007	0	0	0	0	0	0
ENSG00000239697	549.204	513.364	317.468	410.464	393.663	455.418	339.999	694.848	588.611	392	511.179	387.593	472	386.063	257.043	376.683	501.769	409.522	431.618	382.247	431.773	183.75	298.565	369.194	231.105	45	305.24	103	286.012	2155.523	2436.796	1847.88	1891.538
ENSG00000239699	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1.002	0	0	2	0	0	0	0	0
ENSG00000239701	2	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	1	0	0	0	0	0	0
ENSG00000239704	1214.433	917.262	765.451	819.402	814.757	625.534	923.311	1070.779	771.298	656.055	815.125	657.32	553.838	340.747	355.138	751.339	581.063	527.158	125.146	321.758	337.042	28.342	23.738	17.037	48.876	3.383	5.744	1	18.796	290.917	338.514	978.877	90.671
ENSG00000239706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000239713	432.906	300.348	111.805	304.992	237.429	330.388	120.001	329	333.447	71.999	374.843	163.032	41.286	80	19	120.001	100.869	132.001	36	60.364	36.36	3541.821	3934.716	4195.823	3676.098	2462.668	2638.416	2250.91	3568.375	617.078	636.741	272.461	258.874
ENSG00000239719	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1.068	1.97	1.065	4.404	5.528	4.368	0	2.152	0	0	0	0
ENSG00000239722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
ENSG00000239732	14.521	13	0	0	10	0	0	0	9	0	19	6	6.574	10	0	0	8	0	7	0	0	199.679	220.74	146.599	295.304	85.867	83.44	74.18	30.191	11	0	0	0
ENSG00000239736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	6	1	1	0	0	1	0	0	0	0
ENSG00000239741	0	0	0	0	0	0	0	0	0	0	0	0	5.351	0	0	0.5	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0
ENSG00000239754	0	0.5	0	1	0	0	0	0	0	0	7.048	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7.978	0	0	0
ENSG00000239763	1	9	6	4	5	8	5	9	10	10	9	7	5	11	5	7	7	4	3	5	6	16	25	27	25	17	32	29	27	6.003	7	7	18
ENSG00000239779	5599.622	4923.615	3770.546	5197.801	5016.971	6074.077	5012.498	6704.03	4762.321	5195.836	6092.316	3948.181	4806.999	3765.842	3423.653	2755.81	3258.505	3138.539	4123.312	3831.379	4581.137	943.847	1009.444	1086.782	958.367	1037.824	1140	761.207	912.308	2445.943	3713.202	3743.081	2498.665
ENSG00000239780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239789	1328.762	1920.722	1971.324	1143.057	1863.805	2167.441	2489.998	3236.113	2460.616	2269.055	1781.027	2189.869	2179.593	1874.684	2071.069	1860.785	2009.108	2367.156	1618.075	1761.962	1864.988	307.731	371.773	444.395	440.909	449.864	400.49	627.726	391.83	1109.927	961.918	904.056	919.022
ENSG00000239792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239797	1.098	4.878	2.451	4.035	2.589	3.725	1.279	1.083	1.484	3.175	0	4.038	3.024	2.354	1.085	6.264	0	1.071	3.163	2.633	1.006	0	3.491	2.312	1.108	4.738	3.574	2.31	0	3.314	1.005	2.016	3.24
ENSG00000239804	1	1	0	0	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000239805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0
ENSG00000239810	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.53	90.361	0	6.249	0	0	0	1.084	0	0	0	0
ENSG00000239827	10	4	9	9	6	9.475	8	9.967	16.968	7	7	5	9	10	0	6	3.827	2	10.998	4.006	2	21.411	18.56	32.82	23.678	21.607	22.341	16.01	23.735	18.999	42	7	23.072
ENSG00000239829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239830	0	1	0	0	0	0	3	2	1	1	1	1	0	0	0	1	0	0	2	1	1	82.067	2	0	6.004	150.451	130.735	136.617	123.193	0	0	0	0
ENSG00000239831	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.003	0	0	0	0	0	0	0	0	0	0
ENSG00000239835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	4	2	4.007	6.009	1	1	0	0	0	0
ENSG00000239836	71.076	83.239	32.985	60.336	2.833	88.957	0	49.915	68.639	8.038	80.777	29.96	8.443	10.223	0	19.702	30.711	14.819	21.639	42.99	39.093	2.598	1138.174	4112.968	2270.779	645.404	1921.765	1055.059	2560.498	425.219	358.179	172.883	141.34
ENSG00000239839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000239840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0
ENSG00000239855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.152	87.856	253.304	6.641	2.132	1.446	134.296	5.067	0	0	0	0
ENSG00000239857	6778.139	7124.864	7161.913	5632.127	7183.313	6468.766	7802.085	9953.961	8163.216	7380.51	9019.775	7908.935	6881.916	6776.771	7163.888	5620.506	6823.212	6803.746	5646.469	5504.825	6343.499	1012.496	1106.44	1239.24	1243.408	1010.965	1450.661	1210.975	1278.998	1809.775	2103.36	1425.669	1598.544
ENSG00000239861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.072	71.545	70.367	126.478	0	1.084	56.712	3.105	0	0	0	0
ENSG00000239865	1059.511	953.908	1136.307	1036.015	894.54	1119.664	1310.648	1480.188	1245.747	1296.231	1049.893	1051.745	1043.986	873.314	801.968	482.056	408.236	130.776	0	28.584	0	143.193	0	176.224	0	99.427	119.514	88.333	0	212.289	32.135	1.823	3.512
ENSG00000239870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239873	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	1	0	0	0	0	0
ENSG00000239880	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.005	1.004	0	0	0	0	0
ENSG00000239881	1	4	1	5	2	15	3	4	8	3	18	4	6	13	3	1	3	1	17	8	12	0	0	0	0	1	0	1	1	0	0	0	0
ENSG00000239882	2.869	0	4.142	4.151	3.8	0	4	4.799	1.064	1.228	0	0	5	6.238	3.815	0	1.372	0.5	3	2.991	0	0	0	0	5.121	0	0	0	0	0	0	6.78	4.629
ENSG00000239883	327.712	350.681	313.639	263.808	369.887	266.235	251.709	449.963	345.013	260.469	367.004	375.368	281.764	350.233	235.055	262.065	230.899	240.838	241.724	189.839	276.466	199.415	250.428	224.004	240.375	170.464	242.442	226.937	242.237	102.804	157.585	130.742	157.325
ENSG00000239886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239887	3119.018	2263.508	2158.624	2567.282	2728.87	3049.436	3620.501	4372.143	2931.86	1921.752	2014.25	3522.393	1869.539	2217.901	1380.898	2106.631	2437.623	1805.332	1663.184	1434.313	1624.193	6	2	3	5	0	0	0	0	12	24	6	11
ENSG00000239893	0	3	1	0	1	2	0	3	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
ENSG00000239900	12097.038	13727.105	13399.055	9899.463	14102.195	11832.003	19682.155	19120.435	16272.32	13790.215	11012.232	15008.108	10955.844	9944.028	13020.754	12038.518	12833.013	13440.179	10607.353	10424.941	12510.772	1493.882	2303.609	2418.067	2138.84	2333.259	1892.48	3471.743	2089.658	3783.038	4695.423	3145.327	3811.831
ENSG00000239912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2.001	3	0	3	4	2	5	0	0	0	0
ENSG00000239917	1	1	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	3.004	3.003	2.789	3.804	4.005	5.736	2.288	3.378	0	0	0	0
ENSG00000239919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.001	0	0	0	0	0
ENSG00000239920	8.032	2	0	4.02	6.001	8.007	8.156	9.081	7.003	2.952	7.061	0	2.001	9.02	7.507	0	6.135	4.951	4.992	1.002	1.001	35.267	40.441	43.508	48.44	25.849	45.922	39.185	48.268	1	4.653	8.002	5
ENSG00000239924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.072	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
ENSG00000239927	6.266	0	0	4.781	0	1.232	2.408	0	1.081	0	5.746	0	921.355	662.805	718.583	0	2.002	4.265	755.493	598.525	797.631	0	0	0	0	2.372	0	141.437	139.857	0	629.565	355.754	0
ENSG00000239939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000239944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1331.905	2006.404	1141.751	258.463	4.554	2	5212.876	0.972	0	0	0	0
ENSG00000239959	4	1	0	1	3	8	2	15	8	3	0	2	0	3	0	1	2	0	0	2	2	0	2	1	3	3	2.776	2	1	0	0	0	0
ENSG00000239961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.331	47.702	0	22.487	11.104	3.866	1.511	26.37	0	0	0	0
ENSG00000239967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239969	34.878	47.11	29.067	35.947	57.856	39.702	93.349	85.394	69.572	68.408	40.898	67.642	21.211	61.017	34.576	30.52	35.778	30.955	42.306	37.208	18.328	181.14	97.161	171.308	223.646	183.4	213.984	177.88	175.297	19.032	31.414	16.769	16.822
ENSG00000239974	29.81	28.828	66.852	25.035	47.968	33.97	80.069	168.457	145.664	75.669	135.497	60.906	108.684	55.198	92.807	255.947	282.151	269.297	111.716	53.549	90.049	0	0	0	40.643	42.106	35.42	0	0	54.679	155.576	164.639	78.545
ENSG00000239975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.405	3.316	0	0	0	0	0	0	0	0	0
ENSG00000239978	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239981	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.27	2	0	2	0	0	0	0	0
ENSG00000239985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000239989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000239998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.641	12.768	28.47	4.562	17.792	12.086	11.586	3.987	0	0	0	0
ENSG00000240002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0
ENSG00000240003	0	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	3.006	0	1.002	1.002	0	0	6	0	0	0
ENSG00000240021	6	10	5	5	4	8	12	8	11	10	9	8	3	4	8	7	2	4	4	3	12	20	7	22	12	8	6	4	16	3	19	16	7
ENSG00000240023	1	5	2	1	4	5	13	8	6	9	6	4	19	5	2	10	4	9	11	4	5	1	1	0	0	1	4	0	0	0	0	0	0
ENSG00000240024	969.77	816.443	726.999	798	621	869.001	792.417	1045.999	904	697	962	738	803	779.384	692.6	764.721	935.624	775	516.119	450	551.137	140	30	48	70.999	55	109.216	15	77.001	174	318	466	228.073
ENSG00000240027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
ENSG00000240031	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000240034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240036	3	4.002	0	3.001	4	4	3.001	4	3.001	7	3.001	3	4.002	3.001	2	0	0	0	1	4.003	1	2.13	3.207	3.206	3.193	2.132	2.12	2.124	1.049	1	1	1	0
ENSG00000240038	174.35	182.909	104.888	129.85	271.273	370.964	128.653	436.76	193.448	298.288	462.471	213.908	206.814	291.286	122.934	145.345	99.452	152.52	152.361	195.533	190.485	222.802	247.699	333.147	444.481	559.958	445.076	255.687	416.216	205.828	105.251	273.133	59.625
ENSG00000240041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000240042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240045	36	19	21	12	8	18	3	20	24	0	3	11	0	3	1	38	24	17	3	5	6	0	0	0	0	0	0	1	0	1	0	2	0
ENSG00000240047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
ENSG00000240048	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.027	3.025	2.022	6.031	3.035	1.003	2.013	0	0	0	0	0
ENSG00000240051	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0
ENSG00000240052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240053	197.886	549.107	660.516	183.188	479.739	458.523	320.994	615.98	504.02	270.861	471.403	732.32	256.518	514.431	1188.023	431.143	512.819	589.263	189.453	412.203	337.951	176.665	343.902	228.876	479.052	531.752	298.009	363.324	403.81	362.066	602.189	914.407	743.882
ENSG00000240058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000240065	18.881	2.603	0	9.658	61.822	16.042	20.083	28.599	14.791	0	32.593	0	1.804	1.846	8.999	8.031	0	5.147	0	0	0	409.26	458.545	458.749	508.461	258.507	362.343	561.367	319.68	42.246	30.816	40.099	10.549
ENSG00000240068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240069	0	1.092	0	0	0	0	0	0	0	0	0	0	1.06	0	1.028	1.032	2.19	2.25	0	0	1.091	0	2	0	0	0	0	0	0	0	1.137	0	0
ENSG00000240074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	2	3	1	2	0	0	0	0
ENSG00000240083	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	2	0	0	0	0
ENSG00000240084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240087	33.069	41.298	38.302	42.087	52.496	42.324	42.42	82.248	66.282	57.492	62.513	37.271	42.305	38.092	24.157	32.389	47.346	30.279	49.334	31.853	38.286	5.796	4.327	3.561	6.385	10.015	9.495	2.248	4.855	7.065	18.1	6.041	21.161
ENSG00000240089	5	12	8	6	3	11.401	2	15.042	10	12	9.272	12	9	16	11	5	11	4	6	11	2	1.865	6.299	0	0	1.016	2.094	1.04	0	10	81.982	158.555	35.407
ENSG00000240096	0	2	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	8.009	9.014	7.012	7.011	7.009	3.004	9.013	5.008	0	0	0	0
ENSG00000240097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	1	0	1	0	0	0	0
ENSG00000240100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0
ENSG00000240107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240108	1	1	3	0	0	7	0	0	0	0	0	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1.568	0	1	0	0	2	0
ENSG00000240118	5.043	3.023	1.016	2.006	7.35	1.002	0	1.008	2.014	1.12	0	0	0	0	0	0	0	0	5.069	1.01	0	0	71.646	20.92	18.714	8.081	0	5.947	0	14.089	0	2.018	0
ENSG00000240121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240122	0	0	0	1.001	0	0	0	1.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.049	1.039	0	0	0	0	0	0	0	0
ENSG00000240125	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	2.002	4.366	0	0	0	0	0	0
ENSG00000240128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240132	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10.237	20.335	19.807	21.565	22.959	21.704	7.267	14.761	0	0	1	0
ENSG00000240135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.003	0	0	0	0	0	0	0	0
ENSG00000240138	1	0	0	3	0	1	7	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000240156	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	1	0	0	0	0	0
ENSG00000240163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	1	2	2	0	1	0	0	0	0
ENSG00000240167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	1	0	2	7	0	1	0	0	0	0
ENSG00000240174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.588	0	0	0
ENSG00000240184	2654.479	2768.166	2094.461	2817.46	3432.135	5063.046	3918.024	5524.282	4093.304	3487.369	4349.346	3822.961	4149.93	2741.354	3230.971	2182.591	3090.729	3189.25	2853.861	3657.964	3467.515	286.765	317.652	385.73	491.935	494.069	582.767	942.507	561.005	14601.245	16174.363	13107.987	6274.048
ENSG00000240194	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240204	19	54	31	15	34	31	13	33	29	5	23	23	15	10	4	18	18	25	5	19.123	14	4	4	4	11	9	17	27	8	21	14	30	10
ENSG00000240210	0	2	1	1	1	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	5.218	2.075	5.175	2.139	5.686	2.999	2	0	4	13	3	0
ENSG00000240215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240216	0	0	0	0	0	4	0	0	1	0	0	0	0	1	1	3	3	2	0	0	0	1	1	2	0.974	1.29	0	4.32	1	0	0	0	0
ENSG00000240224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.858	0	0	0	0
ENSG00000240225	2338.536	3020.001	3253.009	1878.151	2948.237	2711.931	3430.942	3710.305	2889	2657.333	3198.828	2945.078	2301.001	2314.124	2720.677	2769.985	2811.545	3040.782	2382.113	2279	2687.001	48.001	163.019	72.034	59	15.605	160.728	122.999	122.909	1103	1775.734	1247.021	1197.843
