L438P_1	L438P_2	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6
ENSG00000006757	174	214.887	150	153.683	163.774	145.752	194.001	170
ENSG00000006788	0	0	0	1.005	1	0	1	1
ENSG00000006831	2951.666	2867.465	3070.211	3094.004	1662.02	2424.001	3002.881	2247.191
ENSG00000006837	44.999	59.001	55	53.01	18.999	60	33.001	26.002
ENSG00000007001	0	0	0	0	0	1	0	0
ENSG00000007038	47.999	39	14	4	0	70	25	4
ENSG00000007047	655.065	797.378	876.441	846.008	490.001	863.002	624.027	648.12
ENSG00000007062	2.869	0	1	5.001	2	1	1	2
ENSG00000007080	703.209	943.191	1025.861	999.403	824.689	870.007	1524.588	1086.516
ENSG00000007129	292.27	440	263.002	437.999	222.904	37.999	175.001	107.204
ENSG00000007168	3718.984	3821.998	4293.739	4290.897	2794.36	3324.017	4003.034	3899.999
ENSG00000007171	4	2	3	0	1	1	0	1
ENSG00000007174	5	7.044	1	12.126	3.004	13.116	4	6.089
ENSG00000007202	5862.189	5675.678	6526.288	6404.557	5702.692	4833.628	7923.475	5621.033
ENSG00000007216	1	1	0	2	2	0	0	0
ENSG00000007237	1854.169	1499.293	2629.242	3453.592	537.101	2280.406	1026.757	688.836
ENSG00000007255	559.99	580.882	561.633	547.193	728	794.924	420	625.509
ENSG00000007264	2	5	8	3	2	4	5	0
ENSG00000007306	0	0	0	0	0	0	0	0
ENSG00000007312	1549.685	2856.095	3337.298	2050.752	1441.577	2144.396	1375.314	1857.505
ENSG00000007314	11	21	19	51.888	46	24	16	21
ENSG00000007341	153.841	221.174	273.823	246.221	153.861	176.335	226.473	174.494
ENSG00000007350	0	2	3	8	0	0	1	0
ENSG00000007372	13.598	10.75	8	12.007	3	4.002	0	5
ENSG00000007376	361.001	604	693.999	698.724	708.979	535.999	1140.303	636.953
ENSG00000007384	29	53.451	74.001	73.001	22.999	20.999	23	46.001
ENSG00000007392	1134.019	1445.515	1539.258	1608.793	776.999	1871.497	1576.331	1327.999
ENSG00000007402	19	13.28	10	22.247	10.84	15	8	6
ENSG00000007516	32.113	29.165	26.158	72.292	22.081	56.306	29.095	37.178
ENSG00000007520	650.947	817.053	883.605	796.375	757.919	774.702	975.328	781.848
ENSG00000007541	421.263	548.729	616.113	562.588	567.341	560.47	722.157	665.003
ENSG00000007545	409.816	569.774	544.254	773.37	397.47	765.981	843.892	485.032
ENSG00000007866	8	6	15	15	5	4	11	6
ENSG00000007908	0	1	0	0	0	0	1	2
ENSG00000007923	1337.915	1826.903	1841.086	1851.847	1339.709	1456.225	2220.973	1733.922
ENSG00000007933	0	1	4	4	4	1	0	6
ENSG00000007944	496	1300	962	1018.264	926	1291	748	790.193
ENSG00000007952	1	4	8	8	3	9	10	7
ENSG00000007968	221.495	312.379	357.728	555.281	291.426	309.963	1235.637	307
ENSG00000008018	2487.249	3346.476	3773.846	3507.748	2863.028	2709.867	3952.047	3427.912
ENSG00000008056	67	33.001	14	18	96.999	28	8	15
ENSG00000008083	1320.999	1554	1580	1446	987.081	905.34	913	1343.39
