JL	Control_1	Control_2	Control_3
ENSG00000015413	16	4	3	0
ENSG00000015475	1040.463	1634.005	2080.272	1043.043
ENSG00000015479	17841.455	24918.583	15179.204	17950.601
ENSG00000015520	0	3	3	0
ENSG00000015532	1840.354	3805.232	2899	2625.376
ENSG00000015568	597.847	269.912	68.819	887.55
ENSG00000015592	0	0	0	0
ENSG00000015676	4284.994	7632.666	6103.607	4694.041
ENSG00000016082	9	1	0	0
ENSG00000016391	389	234	202	99
ENSG00000016402	189	7	13	16
ENSG00000016490	0	1	1	0
ENSG00000016602	0	0	0	0
ENSG00000016864	6453.536	8200.141	7905.903	6240.829
ENSG00000017260	9897.756	15702.659	11008.568	8233.892
ENSG00000017427	305	7	45	0
ENSG00000017483	1598.12	3744.47	4050.361	2161.972
ENSG00000017797	7829.23	14560.969	10696.239	10368.124
ENSG00000018189	3347.485	3670.199	2679.017	3573.193
ENSG00000018236	691.141	1	0	0
ENSG00000018280	16	6	10	17
ENSG00000018408	12962.722	10852.759	9856.776	10190.991
ENSG00000018510	5324.116	7235.29	5120.845	6070.959
ENSG00000018607	0	0	0	0
ENSG00000018610	1168.471	1478.54	1237.004	1167.109
ENSG00000018625	6	11	100.001	6
ENSG00000018699	1286.693	1728.019	1252.617	1267.012
ENSG00000018869	166	168	126	103
ENSG00000019102	0	0	0	0
ENSG00000019144	6077.772	14943.591	9973.108	9270.21
ENSG00000019169	4	1	0	96
ENSG00000019186	249	54	0	1
ENSG00000019485	417	351.001	529.999	485.012
ENSG00000019505	0	0	0	0
ENSG00000019549	7502.45	13115.571	6428.79	8439.203
ENSG00000019582	91	122	31	35
ENSG00000019991	1396.065	1471.079	25	17
ENSG00000019995	4086.318	5297.655	3582.925	3209.299
ENSG00000020129	2348.907	4065.652	3520.285	2272.442
ENSG00000020181	27460.422	30060.268	17519.833	12187.132
ENSG00000020219	0	0	0	0
ENSG00000020256	1070.027	1670.001	1490.435	1247
ENSG00000020426	1065.398	2275.275	1504.24	1658.673
ENSG00000020577	3483.033	8349.89	7674.641	7222.969
ENSG00000020633	127	259.239	2284.026	82
ENSG00000020922	1561.034	3387.141	1426.547	1664.018
ENSG00000021300	61	30	23	6
ENSG00000021355	1940.534	3611.249	3673.381	3161.977
ENSG00000021461	0	0	0	0
ENSG00000021488	10	8.001	10	2
ENSG00000021574	1849.985	2081.999	2134.174	1705.358
ENSG00000021645	5	2	1	2
ENSG00000021762	2865.065	4906.457	2856.001	4139.418
ENSG00000021776	3861.813	6937.598	3942.041	5573.404
ENSG00000021826	1001.216	2402.258	1619.977	174.002
ENSG00000021852	0	6	1	0
ENSG00000022267	18749.8	37110.881	10739.828	42352.276
ENSG00000022277	6499.059	14215.7	11245.566	9651.363
ENSG00000022355	0	0	0	0
ENSG00000022556	0	0	0	0
ENSG00000022567	443	547.999	613	449
ENSG00000022840	9940.029	11316.717	9389.025	8325.357
ENSG00000022976	431.001	899	672.768	605.002
ENSG00000023041	2679.415	4476.861	2912.011	2457.344
ENSG00000023171	546.002	2484.743	1892.001	1819.842
ENSG00000023191	2145.588	4783.338	7705.836	4087.911
ENSG00000023228	6426.933	9328.287	8437.613	7094.709
ENSG00000023287	6689.827	7451.856	5405.025	5412.977
ENSG00000023318	6747.01	7399.351	5869.591	4906.219
ENSG00000023330	2636.009	2863.709	1755.389	2596.775
ENSG00000023445	96	140	67	549
ENSG00000023516	5725.767	9130.001	6044.051	5878.099
ENSG00000023572	1157	1341.077	1353.158	1246.301
ENSG00000023608	1918.508	2864.801	1859.543	3364.76
ENSG00000023697	1901.938	3834.592	1949.283	2458.428
ENSG00000023734	9801.608	12383.144	12707.508	11265.202
ENSG00000023839	28	84	172.001	31
ENSG00000023892	8	36	20	7
ENSG00000023902	3854.599	4209.046	3560.535	4567.435
ENSG00000023909	3605.436	9674.646	7420.875	5658.802
ENSG00000024048	3445.507	5157.423	4301.038	3957.436
ENSG00000024422	20256.207	61875.21	30545.359	31597.161
ENSG00000024526	342	6443.277	396	2296.059
ENSG00000024862	845.01	845	753	580.001
ENSG00000025039	2012.394	9	4	3
ENSG00000025156	1030.486	1209.102	1187	999.922
ENSG00000025293	3437.374	4630.064	3247	3937.764
ENSG00000025423	20	73.999	55	281
ENSG00000025434	728.098	372	269.002	203
ENSG00000025708	1564.104	648.067	838.429	517.694
ENSG00000025770	1226.004	3778.546	1859.141	2140.001
ENSG00000025772	1951.778	8715.821	2878.883	2848.044
ENSG00000025796	17132.916	17811.998	16282.317	11479.57
ENSG00000025800	6084.579	10861.727	8547.026	8118.24
ENSG00000026025	543148.68	1168140.435	616905.02	825764.14
ENSG00000026036	322.51	940.423	991.425	530.455
ENSG00000026103	3279.875	7662.318	6042.043	6574.956
ENSG00000026297	896.063	523.001	1661.768	952.555
ENSG00000026508	47894.437	139743.578	97147.936	70159.471
ENSG00000026559	381.439	856	810	312.999
ENSG00000026652	1724.548	1334.041	1284	1125.016
ENSG00000026751	0	0	9	6
ENSG00000026950	2323.113	1761.105	1260.131	1019.34
ENSG00000027001	1258.024	1670.134	833.011	902
ENSG00000027075	133	91.397	49.586	43
ENSG00000027644	31	1	13	6
ENSG00000027697	5823.036	3439.645	3264.518	2665.927
ENSG00000027847	1025.17	1752.194	1706	1388.245
ENSG00000027869	8	0	14	18
ENSG00000028116	1134.13	3567.411	1957.118	1486.436
ENSG00000028137	487	617	174	517
ENSG00000028203	4594.986	6633.331	4543.859	5487.946
ENSG00000028277	1285.999	393.943	1147.001	307
ENSG00000028310	1751.602	3859.951	2889.121	2860.729
ENSG00000028528	11722.899	12303.066	10501.28	9416.891
ENSG00000028839	987.002	2065.562	1221.034	1369.999
ENSG00000029153	621.019	4614.889	1078	2919.83
ENSG00000029363	10765.771	25041.224	14261.202	14139.6
ENSG00000029364	4482.007	6668.69	7090.024	5458.421
